Full Name,First Name,Last Name,Projected Points,Sentiment,NumOfDataPoints,Average Sentiment,Most Positive Comment,Most Positive Comment Score,Most Negative Comment,Most Negative Comment Score,Position,Actual Points
Josh Allen,Josh,Allen,374.63,77.06039999999986,768,0,"Josh Allen not playing gives us a better chance at a win, a better chance at a good playoff seed, and a better chance at winning the Super Bowl.",0.9779,"If this sub spent as much time throwing a football as much as it did bitching about stupid shit, everyone here could out-throw Josh Allen.",-0.8442,QB,19.6
Patrick Mahomes,Patrick,Mahomes,352.02,22.969900000000003,145,0,"I know he never would because he’s Patrick Mahomes and he is incredible at football, but god would I love to see Mahomes have a hilarious fumble a la Jameis Winston in the 2015 Rose Bowl",0.9186,I hate Patrick mahomes and his stupid fucking tongue.,-0.7964,QB,31.14
Justin Herbert,Justin,Herbert,328.04,7.208999999999999,55,0,"I loved watching Rivers play his last year with the Colts, I love watching LT on NFL Network, I’ll always follow what Ekeler is doing including his twitch channel right now, I watch all the ads Justin Herbert is in because he doesn’t get much screen time and I’ll take all I can get.",0.8885,He was near the top of the league at it but unfortunately accuracy under pressure is an incredibly volatile stat (unless you're Justin Herbert) and so is deep ball accuracy.,-0.6705,QB,12.04
Jalen Hurts,Jalen,Hurts,318.51,-33.680500000000016,112,0,Jalen Hurts is playing insanely efficient high level football on an amazing team and looking good doing it people don’t give them the respect they deserve so he’s probably not the favorite at this moment but as long as they keep winning and end up with an elite record like 14-2 or 15–1 he’ll have an extremely strong case,0.9562,"Damn, I do hate the eagles, but it is just impossible to hate Jalen Hurts",-0.9246,QB,21.8
Jonathan Taylor,Jonathan,Taylor,316.99,3.7647,29,0,Hilarious when people say Jonathan Taylor is the best RB in the league just because he had a nice season.,0.8658,Also the fact that Jonathan Taylor has been injured since basically week 2.,-0.4019,RB,24.3
Lamar Jackson,Lamar,Jackson,316.41,20.445400000000006,167,0,"Obviously Lamar Jackson is a special player, but when he runs on these saints he doesn’t even do anything special behind the line of scrimmage today, the saints players just start flopping like cartoon players.",0.8248,"if you look at tackle numbers sure they’re taking more hits but justin and lamar jackson avoid the bad ones, i don’t think they’re reckless.",-0.8873,QB,0.0
Kyler Murray,Kyler,Murray,314.0,10.527699999999998,91,0,Easy schedule Kyler Murray is the MVP favorite and smacked once you play a good team in the playoffs.,0.8807,Damn did Kyler Murray insult his center's kid or something?,-0.7184,QB,0.0
Cooper Kupp,Cooper,Kupp,312.91,3.9706,50,0,He correctly evaluated Cooper Kupp as the best WR in the 2017 class so if he gets to help in talent evaluation too I'm sure he'd be a great coach,0.9442,"Their whole o-line needs to be rebuilt, they have no good offensive skill position guys other than Cooper Kupp, their defense is among the worst at getting pressure on the QB, and they have no 1st-round pick next year.",-0.8519,WR,2.9
Christian McCaffrey,Christian,McCaffrey,309.94,-0.12479999999999997,7,0,We are healthy and have Christian McCaffrey now.,0.4019,"Christian McCaffrey, he doesnt even suit anymore what a loser",-0.5267,RB,17.7
Aaron Rodgers,Aaron,Rodgers,309.66,-3.1919999999999997,669,0,"Putting in Love can help you figure out one thing, if he's good and shows potential  you can shop that to other teams for draft capital and help put better pieces around Aaron Rodgers and the other team can pick up Loves 5th year option.",0.959,LMFAO FUCK YOU AARON RODGERS LETS FUCKING GOOOOOO FUCK THE MOTHERFUCKING PACKERS GO TO HELL YOU INCARNATION OF SATAN,-0.9169,QB,19.36
Tom Brady,Tom,Brady,306.83,47.87719999999996,730,0,"As a Seahawks fan, it’s glorious because had he not opened his mouth like he was Tom Brady leaving the patriots and then goes and wins a Super Bowl, that’s backing up what you’re saying.",0.9493,"One crew: bad roughing the passer, bad roughing the passer again with Tom Brady, Calling the Seahawks the Mariners, throwing a block on a Vikings player turning an interception into a touchdown",-0.872,QB,16.02
Dak Prescott,Dak,Prescott,306.52,1.3559,13,0,Remember when Dak Prescott got all sorts of praise for throwing away a cup?,0.5574,"It's not like we're stacked, but if you replaced our coach and QB with like, Mike McCarthy and Dak Prescott, we'd be a playoff team.",-0.4973,QB,19.2
Russell Wilson,Russell,Wilson,302.42,4.200900000000001,174,0,"I hope Russell Wilson pulls one of those, the shit talking will be hilarious.",0.8625,Now you are insulting people for grammar because they don't agree that Russell Wilson is the worst QB of all time?,-0.8559,QB,14.24
Joe Burrow,Joe,Burrow,294.45,3.0983000000000005,50,0,"I don’t blame lifers for not abandoning the team entirely, but I don’t think the group of Browns fans I’m friends with from college (OSU) who are on team “still Browns fans, but also big Joe Burrow fans who aren’t offended by the Bengals like they’re the Ravens or Steelers” are that small of a group.",0.6996,"I was just in Barcelona and saw a decent number of people wearing NFL jerseys but when I saw a guy wearing a Joe Burrow jersey (I’m a bengals fan) and was hell yeah let’s go bengals, he looked at me confused and horrified lol",-0.8573,QB,0.0
Justin Jefferson,Justin,Jefferson,287.8,4.3224,37,0,"Yes, Justin Jefferson has every reason to break that record as well as most receiving records",0.5859,"But its not like we are finding the gems that OP uses as examples of Justin Jefferson, Randy Moss",-0.395,WR,35.3
Matthew Stafford,Matthew,Stafford,285.7,5.319,28,0,"That’s Super Bowl Champion, author of 3 consecutive game winning drives in the playoffs Matthew Stafford.",0.9042,Matthew Stafford: Pizza Slut,-0.5859,QB,0.0
